"Name";"Status";"Use case";"Design";"Code ref";"Test case";"Acceptance test";"Complete"
"6.6 Less is more";"rejected";"";"";"";"";"";"No"
"5.2 Generate requirement traceability matrix";"implementation";"";"design/Requirement traceability matrix.odt,";"";"";"";"No"
"3.3 List orphaned requirements";"rejected";"";"";"";"";"";"No"
"4.5 Maintain requirement dependencies";"approved";"";"";"";"";"";"No"
"4.3 Link requirements to test cases";"rejected";"";"";"";"";"";"No"
"3.7 List requirements that have no package";"rejected";"";"";"";"";"";"No"
"3.6 List requirements that need more work";"approved";"";"design/Report formats.odt,";"";"";"";"No"
"3.10 Full list of all requirements";"approved";"";"design/Report formats.odt,design/rmtoo_requirement_report.pdf,";"";"";"";"No"
"5 Visualize model";"elaboration";"";"";"";"";"";"No"
"6.5 Conventsion over configuration";"rejected";"";"";"";"";"";"No"
"7.3 Import requirements from freemind mind map";"postponed";"";"";"";"";"";"No"
"4.6 Maintain requirement package";"approved";"";"";"";"";"";"No"
"5.1 Generate requirement report";"elaboration";"";"";"";"";"";"No"
"4.4 Maintain assignmentable users and their contact details";"approved";"";"";"";"";"";"No"
"6 Technical decisions";"elaboration";"";"";"";"";"";"No"
"5.1.2 Report structure";"implementation";"";"design/rmtoo_requirement_report.pdf,";"";"";"";"No"
"2.1.2 Ensure no cyclical dependencies among requirements";"approved";"";"design/reqy - command line interface.odt,";"";"";"";"No"
"7.1 Export requirements to taskjuggler tasks";"postponed";"";"";"";"";"";"No"
"6.1 Data and code must be portable";"elaboration";"";"";"";"";"";"No"
"4.8 Track both approved and rejected requirements";"approved";"";"";"";"";"";"No"
"3.4 List requirements missing design documentation";"approved";"";"design/Report formats.odt,";"";"";"";"No"
"2.2 Process all or only implementable requirements";"rejected";"";"";"";"";"";"No"
"1 Command line interface";"implementation";"use-case/UC-1 Overview.dia,use-case/UC-1-1 Maintain requirements.dia,";"design/reqy - command line interface.odt,";"";"";"";"No"
"2.1 Run time checks";"approved";"";"";"";"";"";"No"
"3.2 List packages that have no requirements";"approved";"";"design/Report formats.odt,";"";"";"";"No"
"3.8 Report time and cost estimation of requirements and packages";"approved";"";"design/Report formats.odt,";"";"";"";"No"
"2 Maintain model consistency";"approved";"";"";"";"";"";"No"
"3.5 List requirements missing test cases";"approved";"";"design/Report formats.odt,";"";"";"";"No"
"1.1 Check requirements";"elaboration";"";"";"";"";"";"No"
"1.4 List snapshots";"rejected";"";"";"";"";"";"No"
"7.2 Import requirements from csv";"postponed";"";"";"";"";"";"No"
"2.1.4 Ensure valid requirement package field values";"approved";"";"design/reqy - command line interface.odt,";"";"";"";"No"
"1.6 Create new requirement using template";"approved";"";"";"";"";"";"No"
"2.1.5 Ensure valid requirement field values";"approved";"";"design/reqy - command line interface.odt,";"";"";"";"No"
"6.3 Open source lisence";"implementation";"";"";"";"";"";"No"
"4 Requirement repository";"approved";"";"design/Repository structure.odt,design/class_diagram.dia,design/object_diagram.dia,";"";"";"";"No"
"2.1.6 Ensure valid user field values";"approved";"";"design/reqy - command line interface.odt,design/file-formats/requirement.odt,";"";"";"";"No"
"6.2 Data stored in directory structure and plain text documents";"approved";"";"design/Repository structure.odt,";"";"";"";"No"
"1.3 Generate reports";"elaboration";"";"";"";"";"";"No"
"1.9 Run from within repository directory";"elaboration";"";"";"";"";"";"No"
"5.3 Repository must be human understandable";"approved";"";"";"";"";"";"No"
"1.8 Search repository";"postponed";"";"";"";"";"";"No"
"1.5 Start new requirements project";"approved";"";"";"";"";"";"No"
"3.9 List_requirements missing use cases";"approved";"";"design/Report formats.odt,design/Time and cost report.odt,";"";"";"";"No"
"2.1.3 Ensure no islands of requirements";"approved";"";"design/reqy - command line interface.odt,";"";"";"";"No"
"5.1.1 Report output formats";"implementation";"";"";"";"";"";"No"
"1.2 Create snapshots of requirements";"rejected";"";"";"";"";"";"No"
"1.7 Create new package using template";"approved";"";"";"";"";"";"No"
"2.1.1 Ensure each complete requirement has test case";"rejected";"";"";"";"";"";"No"
"3.1 List broken dependencies";"approved";"";"design/Report formats.odt,";"";"";"";"No"
"4.1 Assing requirements and requirement packages to users";"approved";"";"";"";"";"";"No"
"7 Data import and export";"elaboration";"";"";"";"";"";"No"
"6.4 Version control via off the shelf system";"approved";"";"";"";"";"";"No"
"4.2 Link requirements to design documentation";"rejected";"";"";"";"";"";"No"
"3 Model reports";"elaboration";"";"";"";"";"";"No"
"4.7 Maintain requirements";"approved";"";"";"";"";"";"No"
